Seconds,R_Time,SealID,Recording_ID,ID,Sleep_Code,Simple_Sleep_Code,Resp_Code,Water_Code,DN,pitch,roll,heading,x,y,z,geoX,geoY,Depth,speed,Lat,Long,Stroke_Rate,Heart_Rate,L_EEG_Delta,R_EEG_Delta,HR_VLF_Power
168648,2021-04-22 16:52:58,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,transition to Eupnea,OPEN OCEAN,738268.7034,0.56855703,-0.100810415,1.380177261,43615.49951,-69105.00787,-0.883593759,45255.18924,-114609.3457,0.883593759,1.256305403,36.14145257,-121.9021926,13.42759,48.22994,320360.4,2791234,4.570925
168649,2021-04-22 16:52:59,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,transition to Eupnea,OPEN OCEAN,738268.7035,0.579238,0.004428214,1.115791102,43616.49161,-69104.68905,-0.542575805,45255.85374,-114608.9842,0.542575805,1.231899615,36.14145217,-121.902182,25.56785,50.01938,477673,3443395,4.554474
168650,2021-04-22 16:53:00,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,transition to Eupnea,OPEN OCEAN,738268.7035,0.521979235,-0.041855851,0.619459823,43617.27657,-69104.02827,-0.28333432,45256.3111,-114608.2807,0.28333432,1.20889572,36.14145572,-121.9021708,27.52458,54.31749,118038,657737.6,4.554474
168651,2021-04-22 16:53:01,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,transition to Eupnea,OPEN OCEAN,738268.7035,0.457441545,-0.052062472,0.13518795,43617.64056,-69103.03116,-0.092719125,45256.3475,-114607.2408,0.092719125,1.187617216,36.14146427,-121.9021617,31.43805,58.1189,29605.45,511541.4,4.554474
168652,2021-04-22 16:53:02,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,transition to Eupnea,OPEN OCEAN,738268.7035,0.485542046,-0.082997893,-0.240889693,43617.57283,-69101.99445,0.000803796,45255.95218,-114606.1614,-0.000803796,1.168493124,36.14147556,-121.9021562,48.24514,65.32053,20857.73,419844.2,4.554474
168653,2021-04-22 16:53:03,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,transition to Eupnea,OPEN OCEAN,738268.7035,0.496998531,-0.215048685,-0.823545431,43617.04179,-69101.15597,0.004919994,45255.09354,-114605.2802,-0.004919994,1.151880171,36.14148782,-121.9021562,63.93096,56.96794,141599.4,145665.3,4.554474
168654,2021-04-22 16:53:04,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,transition to Eupnea,OPEN OCEAN,738268.7035,0.72788249,-0.130773663,-0.734733057,43616.37094,-69100.50932,-0.05398476,45254.09509,-114604.5908,0.05398476,1.137696508,36.14149969,-121.9021584,28.07421,30.35962,71635.6,139593.5,4.554474
168655,2021-04-22 16:53:05,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,transition to Eupnea,OPEN OCEAN,738268.7035,0.610870192,-0.217173789,-0.820125342,43615.73729,-69099.90184,0.020594505,45253.13384,-114603.9406,-0.020594505,1.125896241,36.14151107,-121.9021602,31.25509,72.94391,96882.5,758219.2,4.554474
168656,2021-04-22 16:53:06,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,transition to Eupnea,OPEN OCEAN,738268.7035,0.674622034,-0.31527987,-0.455572585,43615.17667,-69099.2124,-0.075937759,45252.24563,-114603.2084,0.075937759,1.11669891,36.14152222,-121.9021607,37.61685,101.4471,49742.58,3896485,4.554474
168657,2021-04-22 16:53:07,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7036,0.661737016,-0.161140017,-0.4276713,43614.80059,-69098.41021,-0.026732559,45251.54196,-114602.3635,0.026732559,1.110044812,36.14153315,-121.9021589,47.60176,106.6091,201341.4,3828261,1.368931
168658,2021-04-22 16:53:08,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7036,0.696611497,-0.184119396,-0.095277444,43614.54303,-69097.59013,-0.075173439,45250.9568,-114601.5007,0.075173439,1.106003361,36.14154379,-121.9021559,65.83165,92.36286,3301168,1746338,1.368931
168659,2021-04-22 16:53:09,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7036,0.709818022,-0.040197299,0.27282864,43614.64754,-69096.75266,-0.097688035,45250.73371,-114600.6205,0.097688035,1.104556586,36.14155228,-121.9021493,67.77966,36.7543,708141.3,1322279,1.368931
168660,2021-04-22 16:53:10,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7036,0.598191752,-0.036893642,0.285769268,43614.90386,-69095.93648,-0.048704397,45250.66244,-114599.7616,0.048704397,1.105652104,36.14156012,-121.9021414,47.65879,81.8221,84319.59,91393.9,1.368931
168661,2021-04-22 16:53:11,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7036,0.60837233,-0.096125016,0.254699416,43615.1962,-69095.09062,-0.000238435,45250.62718,-114598.873,0.000238435,1.108757817,36.14156794,-121.9021333,48.35729,101.4649,20572.29,69074.92,1.368931
168662,2021-04-22 16:53:12,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7036,0.714085708,0.025786809,0.407555027,43615.52156,-69094.29064,-0.04112594,45250.62495,-114598.0303,0.04112594,1.113400262,36.14157529,-121.9021249,46.87507,75.2099,20572.29,69074.92,1.368931
168663,2021-04-22 16:53:13,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7036,0.705437177,0.122596578,0.718268893,43616.02908,-69093.58933,-0.050668167,45250.80487,-114597.2863,0.050668167,1.119550033,36.1415811,-121.9021153,42.18366,112.49,420433.7,1909421,1.368931
168664,2021-04-22 16:53:14,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7036,0.647871773,-0.102721223,0.735938577,43616.61587,-69092.97378,0.01171726,45251.06406,-114596.628,-0.01171726,1.12692308,36.14158531,-121.9021057,44.31767,95.40927,2971642,892720.9,1.368931
168665,2021-04-22 16:53:15,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7036,0.727165822,-0.178488598,0.905811694,43617.28959,-69092.41137,-0.0480198,45251.41019,-114596.0229,0.0480198,1.13515857,36.14158817,-121.9020961,39.89723,58.81313,648962.8,112692.7,1.368931
168666,2021-04-22 16:53:16,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7037,0.734202423,-0.03979771,0.974858529,43617.9841,-69091.93185,-0.071753298,45251.7771,-114595.5006,0.071753298,1.143895227,36.14159017,-121.9020868,31.05633,76.0569,3469346,281659.2,0.2394412
168667,2021-04-22 16:53:17,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7037,0.823200043,-0.223982294,1.07212785,43618.66507,-69091.47424,-0.101990697,45252.13047,-114595.0003,0.101990697,1.152905106,36.14159174,-121.9020779,34.30285,98.27228,3197569,972217.7,0.2394412
168668,2021-04-22 16:53:18,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7037,0.735163386,-0.285937864,1.203027839,43619.41406,-69091.1452,-0.11797931,45252.55187,-114594.6285,0.11797931,1.162006479,36.1415918,-121.9020698,40.23212,40.19935,1149779,814496.7,0.2394412
168669,2021-04-22 16:53:19,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7037,0.741791291,-0.175366348,1.350190519,43620.25177,-69090.91502,-0.042295739,45253.06198,-114594.3556,0.042295739,1.170889244,36.14159087,-121.9020618,39.10454,72.38349,1530561,329353,0.2394412
168670,2021-04-22 16:53:20,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7037,0.729189219,-0.12832236,1.502426366,43621.12379,-69090.76951,-0.016618016,45253.60641,-114594.1674,0.016618016,1.179384865,36.14158917,-121.9020541,43.9096,52.90039,555402.1,1151648,0.2394412
168671,2021-04-22 16:53:21,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7037,0.698148271,0.126736347,1.67965645,43622.0075,-69090.77246,-0.092640944,45254.16253,-114594.1276,0.092640944,1.187154214,36.14158632,-121.9020466,44.49415,39.54381,2263977,4335305,0.2394412
168672,2021-04-22 16:53:22,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7037,0.636814117,-0.090761287,1.501400986,43622.95231,-69090.80411,-0.017482015,45254.77973,-114594.1165,0.017482015,1.194101893,36.14158318,-121.9020388,26.44302,86.75102,1500898,610707.4,0.2394412
168673,2021-04-22 16:53:23,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7037,0.646709998,0.066841231,1.482975775,43623.91413,-69090.71522,-0.068703598,45255.41396,-114593.9849,0.068703598,1.2001281,36.14158098,-121.90203,29.80221,92.12866,1622932,236510.7,0.2394412
168674,2021-04-22 16:53:24,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7038,0.786720688,0.231674739,1.415984021,43624.84548,-69090.60832,-0.046814064,45256.01771,-114593.8353,0.046814064,1.205475952,36.14157912,-121.9020207,36.5206,65.33729,198256.8,16863.19,2.98717
168675,2021-04-22 16:53:25,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7038,0.830678183,0.041472734,1.414906885,43625.66834,-69090.42921,-0.078400404,45256.51298,-114593.6135,0.078400404,1.210486774,36.14157786,-121.9020116,59.71961,98.0064,47617.91,66898.7,2.98717
168676,2021-04-22 16:53:26,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7038,0.591296711,0.005085813,1.323499371,43626.55971,-69090.29004,0.000587348,45257.07675,-114593.4316,-0.000587348,1.214208202,36.14157615,-121.9020027,47.25364,59.96454,100809.6,135920.9,2.98717
168677,2021-04-22 16:53:27,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7038,0.685147126,-0.109399655,1.53192429,43627.53951,-69090.20667,-0.069163648,45257.72895,-114593.3055,0.069163648,1.216703406,36.14157384,-121.9019936,31.45524,81.42491,40305.2,272429,2.98717
168678,2021-04-22 16:53:28,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7038,0.702518541,-0.168421097,1.571876724,43628.45049,-69090.17735,-0.029172184,45258.31234,-114593.2334,0.029172184,1.218046642,36.14157103,-121.9019863,31.15679,52.48012,290481.6,2982442,2.98717
168679,2021-04-22 16:53:29,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7038,0.813086914,-0.002419109,1.803107553,43629.32054,-69090.30043,-0.100504538,45258.85479,-114593.3138,0.100504538,1.218319722,36.14156709,-121.9019802,30.55989,39.17559,121331.6,1270506,2.98717
168680,2021-04-22 16:53:30,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7038,0.755169087,-0.147011145,1.604131356,43630.19352,-69090.45247,-0.020743501,45259.40018,-114593.4231,0.020743501,1.217608475,36.14156299,-121.9019743,32.96142,39.57949,215981.1,2346956,2.98717
168681,2021-04-22 16:53:31,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7038,0.792736088,-0.073990873,1.573619064,43631.04435,-69090.44137,-0.100492033,45259.92341,-114593.3693,0.100492033,1.216041122,36.14156003,-121.9019674,37.76448,65.85613,180516.5,2738712,2.98717
168682,2021-04-22 16:53:32,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7038,0.770660388,0.038629617,1.751314607,43631.92073,-69090.52778,-0.050247673,45260.47219,-114593.413,0.050247673,1.213712515,36.14155639,-121.9019609,36.59765,116.622,540664.4,9049407,7.83744
168683,2021-04-22 16:53:33,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7039,0.819440929,-0.013766311,1.575398832,43632.79477,-69090.62948,-0.116123544,45261.01864,-114593.4719,0.116123544,1.210714266,36.14155263,-121.9019543,34.26398,89.29846,58603.1,1253668,7.83744
168684,2021-04-22 16:53:34,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7039,0.7759813,0.047509664,1.652593058,43633.63704,-69090.67577,-0.119027452,45261.53332,-114593.4755,0.119027452,1.207250921,36.1415494,-121.9019471,43.15227,30.15489,1620068,1546234,7.83744
168685,2021-04-22 16:53:35,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7039,0.785485399,-0.031593158,1.34947155,43634.53983,-69090.71544,-0.023727323,45262.10851,-114593.4724,0.023727323,1.203551307,36.14154612,-121.9019395,61.60642,71.43281,480795.8,58117.51,7.83744
168686,2021-04-22 16:53:36,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7039,0.651447309,0.015640387,1.556804107,43635.40927,-69090.64842,0.013890208,45262.65035,-114593.3627,-0.013890208,1.19949183,36.14154385,-121.9019313,45.57547,60.27105,861627.7,1303219,7.83744
168687,2021-04-22 16:53:37,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7039,0.832104684,0.209095061,1.490937322,43636.30651,-69090.60487,-0.068514167,45263.21999,-114593.2764,0.068514167,1.194760165,36.1415414,-121.9019226,42.48943,77.95697,647608.9,6465431,7.83744
168688,2021-04-22 16:53:38,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7039,0.78089881,0.446484678,1.667801429,43637.12403,-69090.60736,-0.071828018,45263.70992,-114593.2362,0.071828018,1.18952994,36.14153898,-121.9019142,32.65908,119.9264,66848.54,193727.6,7.83744
168689,2021-04-22 16:53:39,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7039,0.926394225,0.402698916,1.422649022,43637.90651,-69090.57997,-0.215414225,45264.1648,-114593.1661,0.215414225,1.184516013,36.14153724,-121.901905,25.34256,98.40902,1258594,350025.7,7.83744
168690,2021-04-22 16:53:40,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7039,0.84386349,0.170364242,1.291039553,43638.6015,-69090.37193,0.006591958,45264.53219,-114592.9153,-0.006591958,1.179955117,36.14153691,-121.9018961,25.34256,84.72185,187479.8,3235711,7.639526
168691,2021-04-22 16:53:41,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7039,0.81125832,0.231683086,1.498554726,43639.35001,-69090.22233,-0.173071262,45264.95311,-114592.723,0.173071262,1.175251135,36.14153585,-121.9018872,31.59667,78.37269,143443.7,3199706,7.639526
168692,2021-04-22 16:53:42,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.704,0.832078682,0.168224315,1.461206272,43640.1483,-69090.16283,-0.080406752,45265.42381,-114592.6208,0.080406752,1.170128228,36.14153391,-121.9018788,47.02876,89.45083,84858.24,1691284,7.639526
168693,2021-04-22 16:53:43,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.704,0.832903729,0.242089608,1.432854626,43640.92915,-69090.05501,-0.092151746,45265.87706,-114592.4702,0.092151746,1.165125865,36.14153246,-121.9018702,49.97291,64.94101,5863.078,319738.9,7.639526
168694,2021-04-22 16:53:44,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.704,0.771603989,-0.116220554,1.330448152,43641.7167,-69089.91521,-0.079697213,45266.33701,-114592.2877,0.079697213,1.160285629,36.14153107,-121.9018619,44.16571,99.74009,15537.55,61286.58,7.639526
168695,2021-04-22 16:53:45,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.704,0.813947916,-0.183956314,1.438688763,43642.49923,-69089.76033,-0.065393429,45266.79195,-114592.0901,0.065393429,1.155542078,36.14152959,-121.9018545,43.87546,30.0146,175682.9,315081.3,7.639526
168696,2021-04-22 16:53:46,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.704,0.771465828,-0.122713368,1.764567884,43643.29755,-69089.80359,-0.111513373,45267.26267,-114592.0906,0.111513373,1.150933092,36.14152657,-121.9018486,48.95493,59.31284,301665.2,2683687,7.639526
168697,2021-04-22 16:53:47,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.704,0.791128829,-0.173310968,1.729822674,43644.08452,-69089.93813,-0.053815033,45267.72205,-114592.1824,0.053815033,1.14667469,36.14152299,-121.9018438,47.14877,99.39967,111956.8,3426094,7.639526
168698,2021-04-22 16:53:48,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.704,0.797843236,0.012997807,1.886476861,43644.84637,-69090.07378,-0.091310641,45268.1563,-114592.2753,0.091310641,1.142915201,36.14151938,-121.9018391,20.89651,60.9919,659809,2558999,12.25496
168699,2021-04-22 16:53:49,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.704,0.855974176,0.007504491,1.905040185,43645.5674,-69090.3383,-0.115936847,45268.54974,-114592.4971,0.115936847,1.139397164,36.14151496,-121.9018353,20.89651,58.87349,1237290,5533621,12.25496
168700,2021-04-22 16:53:50,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7041,0.876781332,0.011887113,1.78903619,43646.26754,-69090.56698,-0.115350503,45268.92228,-114592.6831,0.115350503,1.136313734,36.1415108,-121.9018313,46.3914,53.43644,34264.52,3351952,12.25496
168701,2021-04-22 16:53:51,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7041,0.916660845,-0.058739769,1.751130843,43646.96438,-69090.70301,-0.115135023,45269.29152,-114592.7764,0.115135023,1.133487148,36.14150718,-121.9018269,73.61321,66.76658,1017442,5679836,12.25496
168702,2021-04-22 16:53:52,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7041,0.775628648,-0.13450906,1.891633601,43647.67474,-69090.87005,-0.021973984,45269.67429,-114592.9007,0.021973984,1.13068344,36.1415035,-121.901823,26.07727,100.439,1597716,1785921,12.25496
168703,2021-04-22 16:53:53,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7041,0.815342484,0.020265291,1.838067294,43648.42968,-69091.11512,-0.139588138,45270.10163,-114593.1031,0.139588138,1.12809425,36.14149925,-121.9018189,27.85547,60.90622,118874,1880312,12.25496
168704,2021-04-22 16:53:54,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7041,0.723791904,-0.005248745,1.865220147,43649.20067,-69091.34546,-0.039833918,45270.54502,-114593.2907,0.039833918,1.126139626,36.14149511,-121.9018143,31.41188,84.33835,118874,1880312,12.25496
168705,2021-04-22 16:53:55,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7041,0.855331905,-0.123342876,1.574662168,43649.97159,-69091.44386,-0.075483862,45270.98834,-114593.3464,0.075483862,1.125063968,36.14149183,-121.901809,35.52959,81.40661,580668.8,5069927,12.25496
168706,2021-04-22 16:53:56,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7041,0.631841822,-0.111972179,1.712061105,43650.7861,-69091.55348,-0.003504416,45271.47526,-114593.4133,0.003504416,1.124544675,36.1414885,-121.9018035,39.58738,100.0298,4471153,2324085,12.25496
168707,2021-04-22 16:53:57,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7041,0.872121945,-0.282759398,1.63747085,43651.57329,-69091.676,-0.11732041,45271.93486,-114593.493,0.11732041,1.124737628,36.1414851,-121.9017984,31.23213,78.70164,591105.2,4563524,0.08256526
168708,2021-04-22 16:53:58,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7041,0.674342346,-0.022130615,1.87949489,43652.36677,-69091.84623,-0.034835719,45272.40074,-114593.6206,0.034835719,1.1253403,36.14148143,-121.9017939,31.3457,30.5207,373313.1,2003461,0.08256526
168709,2021-04-22 16:53:59,test33_HypoactiveHeidi,XLOC_2yr-juvenile,XLOC,Active Waking,Active Waking,Eupnea,OPEN OCEAN,738268.7042,0.868124396,-0.083689739,1.818090655,43653.12359,-69092.10605,-0.123004802,45272.82996,-114593.8376,0.123004802,1.126217953,36.14147716,-121.9017899,31.57284,59.73567,429745.4,4377866,0.08256526
